1PV_P_Bus1,2PV_P_Bus2,3PV_P_Bus3,1PV_Q_Bus1,2PV_Q_Bus2,3PV_Q_Bus3,1Line_Ps_FB1_TB2,2Line_Ps_FB1_TB3,3Line_Ps_FB2_TB4,4Line_Ps_FB3_TB4,1Line_Qs_FB1_TB2,2Line_Qs_FB1_TB3,3Line_Qs_FB2_TB4,4Line_Qs_FB3_TB4,Vm_Bus1,Vm_Bus2,Vm_Bus3,Vm_Bus4,Va_Bus1,Va_Bus2,Va_Bus3,Va_Bus4,1PV_Pmax_Bus1,2PV_Pmax_Bus2,3PV_Pmax_Bus3,Margin
249.47,146.5,73.377,-128.84,218.74,176.23,72.55,128.88,59.767,15.007,-85.715,-70.111,39.96,-3.196,0.98989,1.0256,1.0064,1.0066,0,-0.04456,-0.053389,-0.063213,454.9,288.72,187.18,0.97866
146.05,103.88,80.974,155.11,71.823,-51.873,44.882,67.49,36.624,16.176,29.95,110.02,40.209,-16.761,1.0205,1.0011,0.97442,0.98324,0,-0.019177,-0.017003,-0.029974,367.42,249.29,315.09,1.8142
41.379,151.88,160.95,6.275,80.385,93.395,3.4888,2.485,34.95,21.783,-0.81407,-5.4221,14.123,10.741,1.0238,1.0239,1.0256,1.0162,0,-0.0017557,-0.0012651,-0.01324,491.44,360.39,261.99,2.123
180.05,163.66,199.2,-81.945,192.89,192.62,65.265,60.074,44.437,42.396,-52.608,-56.48,33.343,10.797,1.0094,1.029,1.0257,1.0136,0,-0.036791,-0.025651,-0.050257,464.92,377.78,380.5,1.2447
235.49,114.8,164.69,-134.25,238.89,190.08,96.39,86.561,36.195,45.938,-90.63,-73.211,44.51,-2.8479,0.98329,1.0193,1.0042,1.0002,0,-0.057637,-0.038141,-0.06759,459.81,391.43,350.39,1.3305
73.991,234.52,227.35,128.39,180.32,-7.4719,5.3257,14.803,57.922,27.948,-5.1022,107.28,70.295,-25.329,1.0151,1.0171,0.97376,0.98662,0,-0.0030991,0.0025159,-0.019352,454.19,348.93,355.2,1.1534
44.779,128.97,60.764,115.73,95.152,-97.497,-9.6422,30.615,39.943,-2.415,-3.1011,111.01,51.401,-37.183,1.0166,1.0191,0.97268,0.99711,0,0.0043881,-0.0031525,-0.0064656,475.24,246.51,223.63,3.0206
245.85,11.054,256.85,-6.1001,150.33,153.1,153.61,39.947,-9.9829,92.179,-16.513,-18.796,28.843,14.773,0.99508,0.98784,0.99912,0.97766,0,-0.080535,-0.016355,-0.074465,464.17,165.96,381.41,0.96567
230.21,49.66,109.75,-37.741,165.67,84.024,103.46,87.078,20.695,41.476,-49.637,-7.5373,40.091,-11.158,1.008,1.0224,1.0044,1.0062,0,-0.055488,-0.032555,-0.060068,409.77,288.68,313.78,1.5972
121.43,183.5,18.479,-93.293,74.237,188.35,-4.591,93.236,69.341,-17.62,-21.189,-86.122,-6.7549,29.544,0.99205,1.0032,1.0171,1.0006,0,0.00017306,-0.040744,-0.026026,564.02,368.47,268.06,2.6943
59.246,139.96,114.04,3.374,60.926,94.037,4.4628,23.453,37.934,12.232,4.1281,-11.671,7.3734,14.326,0.97921,0.97661,0.98186,0.97089,0,-0.0019155,-0.0099784,-0.016218,295.9,300,240.94,1.6627
265.01,42.454,38.574,-33.644,-3.0973,228.73,102.14,127.16,27.498,27.631,35.865,-89.086,-34.019,59.514,1.0039,0.97519,1.0273,0.98602,0,-0.048891,-0.052323,-0.062165,544.89,171.43,312.48,1.9696
73.275,135.67,28.515,106.72,-1.0658,6.3157,-7.2514,56.537,47.775,-9.8198,47.264,52.385,4.4784,9.2459,1.0244,1.0016,1.001,0.99636,0,0.0082168,-0.016703,-0.0092576,322.69,384.83,320.57,3.328
81.088,187.5,59.744,109.32,-9.3661,71.876,-14.092,62.062,61.816,-9.2668,65.377,30.445,-6.1821,29.959,1.0034,0.97134,0.98732,0.96897,0,0.014067,-0.021016,-0.010856,542.8,329.87,366.82,2.7575
27.984,105.37,167.34,-113.1,140.74,123.22,13.946,-16.3,17.144,30.912,-63.7,-60.662,21.897,-2.3156,0.99235,1.0229,1.0161,1.0136,0,-0.013266,0.001531,-0.017843,534.33,254.82,326.57,2.6825
70.495,29.303,73.245,-109.03,187.2,-1.1794,35.926,16.817,6.2855,21.381,-103.65,-10.325,52.986,-44.904,0.97417,1.023,0.97683,1.003,0,-0.028682,-0.0073823,-0.027113,536.46,239.67,281.18,5.0996
138.54,0.38229,74.948,43.112,-19.803,76.218,73.002,43.831,0.67791,33.491,42.164,-5.4581,-15.567,27.286,1.0063,0.97743,1.0051,0.98329,0,-0.033075,-0.016522,-0.034545,498.04,140.57,320.86,3.464
82.567,118.15,100.5,-71.666,115.09,107.62,18.244,34.044,34.012,14.162,-41.58,-40.921,18.283,1.6883,0.98424,1.0035,0.99707,0.99417,0,-0.013563,-0.016012,-0.024879,382.93,398.27,365.28,2.7932
