时间/s,基波幅值(有效值)/V,基波相角/rad, ,谐波频率/Hz,谐波幅值(有效值)/V
0,59.4185,-1.5689,,48.99522,59.4079
0.0001,59.4191,-1.5697,,44.724093,5.25599
0.0002,59.4197,-1.5704,,55.421497,1.27666
0.0003,59.4203,-1.5711,,147.14645,0.987289
0.0004,59.4209,-1.5719,,342.98219,0.836241
0.0005,59.4215,-1.5727,,272.80252,0.990906
0.0006,59.4221,-1.5734,,196.3053,0.859119
0.0007,59.4227,-1.5742,,181.47046,0.802154
0.0008,59.4234,-1.5749,,440.70326,0.75692
0.0009,59.424,-1.5757,,245.06896,0.701913
0.001,59.4246,-1.5765,,161.42087,0.565259
0.0011,59.4253,-1.5773,,39.27996,0.36071
0.0012,59.4259,-1.578,,980.0027,0.438455
0.0013,59.4266,-1.5788,,1078.0901,0.395468
0.0014,59.4273,-1.5796,,267.14015,0.240537
0.0015,59.4279,-1.5804,,,
0.0016,59.4286,-1.5812,,,
0.0017,59.4293,-1.582,,,
0.0018,59.43,-1.5828,,,
0.0019,59.4307,-1.5836,,,
0.002,59.4314,-1.5844,,,
0.0021,59.4321,-1.5852,,,
0.0022,59.4328,-1.586,,,
0.0023,59.4336,-1.5868,,,
0.0024,59.4343,-1.5876,,,
0.0025,59.4351,-1.5884,,,
0.0026,59.4358,-1.5892,,,
0.0027,59.4366,-1.59,,,
0.0028,59.4374,-1.5909,,,
0.0029,59.4382,-1.5917,,,
0.003,59.439,-1.5925,,,
0.0031,59.4398,-1.5933,,,
0.0032,59.4406,-1.5941,,,
0.0033,59.4415,-1.595,,,
0.0034,59.4423,-1.5958,,,
0.0035,59.4432,-1.5966,,,
0.0036,59.4441,-1.5974,,,
0.0037,59.445,-1.5982,,,
0.0038,59.4459,-1.5991,,,
0.0039,59.4468,-1.5999,,,
0.004,59.4478,-1.6007,,,
0.0041,59.4487,-1.6015,,,
0.0042,59.4497,-1.6023,,,
0.0043,59.4507,-1.6031,,,
0.0044,59.4517,-1.604,,,
0.0045,59.4528,-1.6048,,,
0.0046,59.4538,-1.6056,,,
0.0047,59.4549,-1.6064,,,
0.0048,59.456,-1.6072,,,
0.0049,59.4571,-1.608,,,
0.005,59.4582,-1.6088,,,
0.0051,59.4593,-1.6096,,,
0.0052,59.4605,-1.6103,,,
0.0053,59.4617,-1.6111,,,
0.0054,59.4629,-1.6119,,,
0.0055,59.4641,-1.6127,,,
0.0056,59.4654,-1.6135,,,
0.0057,59.4666,-1.6142,,,
0.0058,59.4679,-1.615,,,
0.0059,59.4692,-1.6158,,,
0.006,59.4705,-1.6165,,,
0.0061,59.4718,-1.6173,,,
0.0062,59.4732,-1.618,,,
0.0063,59.4746,-1.6188,,,
0.0064,59.476,-1.6195,,,
0.0065,59.4774,-1.6202,,,
0.0066,59.4788,-1.621,,,
0.0067,59.4802,-1.6217,,,
0.0068,59.4817,-1.6224,,,
0.0069,59.4831,-1.6231,,,
0.007,59.4846,-1.6238,,,
0.0071,59.4861,-1.6245,,,
0.0072,59.4876,-1.6252,,,
0.0073,59.4892,-1.6259,,,
0.0074,59.4907,-1.6266,,,
0.0075,59.4922,-1.6273,,,
0.0076,59.4938,-1.628,,,
0.0077,59.4954,-1.6287,,,
0.0078,59.4969,-1.6293,,,
0.0079,59.4985,-1.63,,,
0.008,59.5001,-1.6307,,,
0.0081,59.5017,-1.6313,,,
0.0082,59.5033,-1.632,,,
0.0083,59.5049,-1.6327,,,
0.0084,59.5065,-1.6333,,,
0.0085,59.5082,-1.634,,,
0.0086,59.5098,-1.6346,,,
0.0087,59.5114,-1.6353,,,
0.0088,59.513,-1.6359,,,
0.0089,59.5147,-1.6365,,,
0.009,59.5163,-1.6372,,,
0.0091,59.5179,-1.6378,,,
0.0092,59.5195,-1.6384,,,
0.0093,59.5211,-1.6391,,,
0.0094,59.5228,-1.6397,,,
0.0095,59.5244,-1.6403,,,
0.0096,59.526,-1.6409,,,
0.0097,59.5276,-1.6416,,,
0.0098,59.5292,-1.6422,,,
0.0099,59.5307,-1.6428,,,
0.01,59.5323,-1.6434,,,
0.0101,59.5339,-1.6441,,,
0.0102,59.5354,-1.6447,,,
0.0103,59.537,-1.6453,,,
0.0104,59.5385,-1.6459,,,
0.0105,59.54,-1.6466,,,
0.0106,59.5416,-1.6472,,,
0.0107,59.5431,-1.6478,,,
0.0108,59.5446,-1.6484,,,
0.0109,59.546,-1.6491,,,
0.011,59.5475,-1.6497,,,
0.0111,59.549,-1.6503,,,
0.0112,59.5504,-1.6509,,,
0.0113,59.5518,-1.6516,,,
0.0114,59.5533,-1.6522,,,
0.0115,59.5547,-1.6528,,,
0.0116,59.556,-1.6534,,,
0.0117,59.5574,-1.6541,,,
0.0118,59.5588,-1.6547,,,
0.0119,59.5601,-1.6553,,,
0.012,59.5615,-1.6559,,,
0.0121,59.5628,-1.6566,,,
0.0122,59.5641,-1.6572,,,
0.0123,59.5654,-1.6578,,,
0.0124,59.5667,-1.6585,,,
0.0125,59.568,-1.6591,,,
0.0126,59.5692,-1.6597,,,
0.0127,59.5705,-1.6603,,,
0.0128,59.5717,-1.661,,,
0.0129,59.5729,-1.6616,,,
0.013,59.5741,-1.6622,,,
0.0131,59.5753,-1.6629,,,
0.0132,59.5765,-1.6635,,,
0.0133,59.5777,-1.6641,,,
0.0134,59.5789,-1.6647,,,
0.0135,59.58,-1.6654,,,
0.0136,59.5812,-1.666,,,
0.0137,59.5823,-1.6666,,,
0.0138,59.5835,-1.6672,,,
0.0139,59.5846,-1.6678,,,
0.014,59.5857,-1.6685,,,
0.0141,59.5868,-1.6691,,,
0.0142,59.5879,-1.6697,,,
0.0143,59.589,-1.6703,,,
0.0144,59.5901,-1.6709,,,
0.0145,59.5912,-1.6715,,,
0.0146,59.5923,-1.6721,,,
0.0147,59.5933,-1.6728,,,
0.0148,59.5944,-1.6734,,,
0.0149,59.5954,-1.674,,,
0.015,59.5965,-1.6746,,,
0.0151,59.5975,-1.6752,,,
0.0152,59.5986,-1.6758,,,
0.0153,59.5996,-1.6763,,,
0.0154,59.6007,-1.6769,,,
0.0155,59.6017,-1.6775,,,
0.0156,59.6027,-1.6781,,,
0.0157,59.6037,-1.6787,,,
0.0158,59.6047,-1.6793,,,
0.0159,59.6057,-1.6798,,,
0.016,59.6067,-1.6804,,,
0.0161,59.6077,-1.681,,,
0.0162,59.6087,-1.6816,,,
0.0163,59.6097,-1.6821,,,
0.0164,59.6107,-1.6827,,,
0.0165,59.6116,-1.6832,,,
0.0166,59.6126,-1.6838,,,
0.0167,59.6135,-1.6844,,,
0.0168,59.6145,-1.6849,,,
0.0169,59.6154,-1.6854,,,
0.017,59.6163,-1.686,,,
0.0171,59.6173,-1.6865,,,
0.0172,59.6182,-1.6871,,,
0.0173,59.619,-1.6876,,,
0.0174,59.6199,-1.6881,,,
0.0175,59.6208,-1.6887,,,
0.0176,59.6216,-1.6892,,,
0.0177,59.6225,-1.6897,,,
0.0178,59.6233,-1.6903,,,
0.0179,59.6241,-1.6908,,,
0.018,59.6249,-1.6913,,,
0.0181,59.6256,-1.6918,,,
0.0182,59.6264,-1.6923,,,
0.0183,59.6271,-1.6929,,,
0.0184,59.6278,-1.6934,,,
0.0185,59.6285,-1.6939,,,
0.0186,59.6292,-1.6944,,,
0.0187,59.6298,-1.6949,,,
0.0188,59.6304,-1.6954,,,
0.0189,59.631,-1.696,,,
0.019,59.6316,-1.6965,,,
0.0191,59.6322,-1.697,,,
0.0192,59.6327,-1.6975,,,
0.0193,59.6332,-1.698,,,
0.0194,59.6336,-1.6985,,,
0.0195,59.634,-1.6991,,,
0.0196,59.6344,-1.6996,,,
0.0197,59.6348,-1.7001,,,
0.0198,59.6351,-1.7006,,,
0.0199,59.6354,-1.7012,,,
0.02,59.6357,-1.7017,,,
0.0201,59.6359,-1.7022,,,
0.0202,59.6361,-1.7028,,,
0.0203,59.6363,-1.7033,,,
0.0204,59.6364,-1.7038,,,
0.0205,59.6365,-1.7044,,,
0.0206,59.6366,-1.7049,,,
0.0207,59.6366,-1.7055,,,
0.0208,59.6366,-1.706,,,
0.0209,59.6366,-1.7066,,,
0.021,59.6365,-1.7071,,,
0.0211,59.6364,-1.7077,,,
0.0212,59.6362,-1.7082,,,
0.0213,59.636,-1.7088,,,
0.0214,59.6358,-1.7094,,,
0.0215,59.6355,-1.7099,,,
0.0216,59.6352,-1.7105,,,
0.0217,59.6349,-1.7111,,,
0.0218,59.6345,-1.7117,,,
0.0219,59.6341,-1.7123,,,
0.022,59.6336,-1.7128,,,
0.0221,59.6331,-1.7134,,,
0.0222,59.6326,-1.714,,,
0.0223,59.632,-1.7146,,,
0.0224,59.6314,-1.7152,,,
0.0225,59.6308,-1.7158,,,
0.0226,59.6301,-1.7164,,,
0.0227,59.6294,-1.717,,,
0.0228,59.6287,-1.7177,,,
0.0229,59.6279,-1.7183,,,
0.023,59.6271,-1.7189,,,
0.0231,59.6263,-1.7195,,,
0.0232,59.6254,-1.7201,,,
0.0233,59.6245,-1.7207,,,
0.0234,59.6236,-1.7214,,,
0.0235,59.6226,-1.722,,,
0.0236,59.6217,-1.7226,,,
0.0237,59.6206,-1.7233,,,
0.0238,59.6196,-1.7239,,,
0.0239,59.6185,-1.7245,,,
0.024,59.6174,-1.7251,,,
0.0241,59.6163,-1.7258,,,
0.0242,59.6152,-1.7264,,,
0.0243,59.614,-1.7271,,,
0.0244,59.6128,-1.7277,,,
0.0245,59.6116,-1.7283,,,
0.0246,59.6104,-1.729,,,
0.0247,59.6091,-1.7296,,,
0.0248,59.6078,-1.7302,,,
0.0249,59.6065,-1.7309,,,
0.025,59.6052,-1.7315,,,
0.0251,59.6039,-1.7321,,,
0.0252,59.6025,-1.7328,,,
0.0253,59.6012,-1.7334,,,
0.0254,59.5998,-1.734,,,
0.0255,59.5984,-1.7347,,,
0.0256,59.597,-1.7353,,,
0.0257,59.5955,-1.7359,,,
0.0258,59.5941,-1.7365,,,
0.0259,59.5926,-1.7372,,,
0.026,59.5911,-1.7378,,,
0.0261,59.5896,-1.7384,,,
0.0262,59.5881,-1.739,,,
0.0263,59.5866,-1.7396,,,
0.0264,59.5851,-1.7402,,,
0.0265,59.5835,-1.7409,,,
0.0266,59.582,-1.7415,,,
0.0267,59.5804,-1.7421,,,
0.0268,59.5788,-1.7427,,,
0.0269,59.5772,-1.7433,,,
0.027,59.5756,-1.7439,,,
0.0271,59.574,-1.7445,,,
0.0272,59.5724,-1.7451,,,
0.0273,59.5707,-1.7457,,,
0.0274,59.569,-1.7463,,,
0.0275,59.5674,-1.7468,,,
0.0276,59.5657,-1.7474,,,
0.0277,59.564,-1.748,,,
0.0278,59.5623,-1.7486,,,
0.0279,59.5606,-1.7492,,,
0.028,59.5588,-1.7498,,,
0.0281,59.5571,-1.7503,,,
0.0282,59.5553,-1.7509,,,
0.0283,59.5535,-1.7515,,,
0.0284,59.5517,-1.752,,,
0.0285,59.5499,-1.7526,,,
0.0286,59.5481,-1.7532,,,
0.0287,59.5463,-1.7538,,,
0.0288,59.5444,-1.7543,,,
0.0289,59.5425,-1.7549,,,
0.029,59.5407,-1.7554,,,
0.0291,59.5388,-1.756,,,
0.0292,59.5368,-1.7566,,,
0.0293,59.5349,-1.7571,,,
0.0294,59.5329,-1.7577,,,
0.0295,59.531,-1.7583,,,
0.0296,59.529,-1.7588,,,
0.0297,59.527,-1.7594,,,
0.0298,59.5249,-1.76,,,
0.0299,59.5229,-1.7605,,,
0.03,59.5208,-1.7611,,,
0.0301,59.5187,-1.7617,,,
0.0302,59.5166,-1.7622,,,
0.0303,59.5145,-1.7628,,,
0.0304,59.5124,-1.7634,,,
0.0305,59.5102,-1.764,,,
0.0306,59.508,-1.7645,,,
0.0307,59.5058,-1.7651,,,
0.0308,59.5036,-1.7657,,,
0.0309,59.5014,-1.7663,,,
0.031,59.4992,-1.7668,,,
0.0311,59.4969,-1.7674,,,
0.0312,59.4946,-1.768,,,
0.0313,59.4923,-1.7686,,,
0.0314,59.49,-1.7692,,,
0.0315,59.4876,-1.7698,,,
0.0316,59.4853,-1.7704,,,
0.0317,59.4829,-1.771,,,
0.0318,59.4806,-1.7715,,,
0.0319,59.4782,-1.7721,,,
0.032,59.4758,-1.7727,,,
0.0321,59.4733,-1.7733,,,
0.0322,59.4709,-1.7739,,,
0.0323,59.4685,-1.7745,,,
0.0324,59.466,-1.7751,,,
0.0325,59.4635,-1.7757,,,
0.0326,59.4611,-1.7763,,,
0.0327,59.4586,-1.777,,,
0.0328,59.4561,-1.7776,,,
0.0329,59.4536,-1.7782,,,
0.033,59.4511,-1.7788,,,
0.0331,59.4486,-1.7794,,,
0.0332,59.4461,-1.78,,,
0.0333,59.4436,-1.7806,,,
0.0334,59.4411,-1.7812,,,
0.0335,59.4385,-1.7818,,,
0.0336,59.436,-1.7825,,,
0.0337,59.4335,-1.7831,,,
0.0338,59.431,-1.7837,,,
0.0339,59.4285,-1.7843,,,
0.034,59.426,-1.7849,,,
0.0341,59.4235,-1.7855,,,
0.0342,59.421,-1.7861,,,
0.0343,59.4185,-1.7868,,,
0.0344,59.416,-1.7874,,,
0.0345,59.4136,-1.788,,,
0.0346,59.4111,-1.7886,,,
0.0347,59.4087,-1.7892,,,
0.0348,59.4062,-1.7898,,,
0.0349,59.4038,-1.7904,,,
0.035,59.4014,-1.791,,,
0.0351,59.399,-1.7916,,,
0.0352,59.3967,-1.7923,,,
0.0353,59.3943,-1.7929,,,
0.0354,59.392,-1.7935,,,
0.0355,59.3897,-1.7941,,,
0.0356,59.3874,-1.7947,,,
0.0357,59.3851,-1.7953,,,
0.0358,59.3828,-1.7959,,,
0.0359,59.3806,-1.7964,,,
0.036,59.3784,-1.797,,,
0.0361,59.3762,-1.7976,,,
0.0362,59.374,-1.7982,,,
0.0363,59.3719,-1.7988,,,
0.0364,59.3698,-1.7994,,,
0.0365,59.3677,-1.8,,,
0.0366,59.3656,-1.8005,,,
0.0367,59.3636,-1.8011,,,
0.0368,59.3616,-1.8017,,,
0.0369,59.3596,-1.8022,,,
0.037,59.3576,-1.8028,,,
0.0371,59.3557,-1.8034,,,
0.0372,59.3538,-1.8039,,,
0.0373,59.3519,-1.8045,,,
0.0374,59.3501,-1.805,,,
0.0375,59.3483,-1.8056,,,
0.0376,59.3465,-1.8062,,,
0.0377,59.3447,-1.8067,,,
0.0378,59.3429,-1.8073,,,
0.0379,59.3412,-1.8078,,,
0.038,59.3395,-1.8083,,,
0.0381,59.3379,-1.8089,,,
0.0382,59.3362,-1.8094,,,
0.0383,59.3346,-1.81,,,
0.0384,59.333,-1.8105,,,
0.0385,59.3315,-1.8111,,,
0.0386,59.3299,-1.8116,,,
0.0387,59.3284,-1.8121,,,
0.0388,59.3269,-1.8127,,,
0.0389,59.3254,-1.8132,,,
0.039,59.324,-1.8137,,,
0.0391,59.3226,-1.8143,,,
0.0392,59.3212,-1.8148,,,
0.0393,59.3198,-1.8153,,,
0.0394,59.3184,-1.8159,,,
0.0395,59.3171,-1.8164,,,
0.0396,59.3158,-1.817,,,
0.0397,59.3145,-1.8175,,,
0.0398,59.3132,-1.818,,,
0.0399,59.312,-1.8186,,,
0.04,59.3107,-1.8191,,,
0.0401,59.3095,-1.8197,,,
0.0402,59.3083,-1.8202,,,
0.0403,59.3071,-1.8208,,,
0.0404,59.306,-1.8213,,,
0.0405,59.3048,-1.8219,,,
0.0406,59.3037,-1.8224,,,
0.0407,59.3026,-1.823,,,
0.0408,59.3015,-1.8235,,,
0.0409,59.3004,-1.8241,,,
0.041,59.2994,-1.8247,,,
0.0411,59.2983,-1.8253,,,
0.0412,59.2973,-1.8258,,,
0.0413,59.2963,-1.8264,,,
0.0414,59.2953,-1.827,,,
0.0415,59.2943,-1.8276,,,
0.0416,59.2934,-1.8282,,,
0.0417,59.2924,-1.8288,,,
0.0418,59.2915,-1.8294,,,
0.0419,59.2906,-1.83,,,
0.042,59.2897,-1.8306,,,
0.0421,59.2889,-1.8312,,,
0.0422,59.288,-1.8318,,,
0.0423,59.2872,-1.8324,,,
0.0424,59.2864,-1.833,,,
0.0425,59.2856,-1.8336,,,
0.0426,59.2848,-1.8343,,,
0.0427,59.2841,-1.8349,,,
0.0428,59.2833,-1.8355,,,
0.0429,59.2826,-1.8362,,,
0.043,59.2819,-1.8368,,,
0.0431,59.2812,-1.8375,,,
0.0432,59.2806,-1.8381,,,
0.0433,59.28,-1.8388,,,
0.0434,59.2794,-1.8394,,,
0.0435,59.2788,-1.8401,,,
0.0436,59.2782,-1.8407,,,
