时间/s,基波幅值(有效值)/V,基波相角/rad,基波频率/Hz
0,60.8847,0.26481,48.5119
0.0001,60.899,0.26745,48.5008
0.0002,60.9132,0.27007,48.4896
0.0003,60.9274,0.27268,48.4784
0.0004,60.9415,0.27528,48.4673
0.0005,60.9556,0.27787,48.4562
0.0006,60.9696,0.28045,48.445
0.0007,60.9836,0.28302,48.4339
0.0008,60.9975,0.28559,48.4228
0.0009,61.0114,0.28814,48.4117
0.001,61.0252,0.29068,48.4006
0.0011,61.039,0.29321,48.3895
0.0012,61.0527,0.29573,48.3785
0.0013,61.0664,0.29824,48.3674
0.0014,61.0801,0.30074,48.3564
0.0015,61.0937,0.30323,48.3453
0.0016,61.1072,0.30571,48.3343
0.0017,61.1207,0.30818,48.3233
0.0018,61.1341,0.31064,48.3123
0.0019,61.1475,0.31309,48.3012
0.002,61.1608,0.31554,48.2903
0.0021,61.1741,0.31797,48.2793
0.0022,61.1873,0.32039,48.2683
0.0023,61.2005,0.3228,48.2573
0.0024,61.2136,0.32521,48.2464
0.0025,61.2267,0.3276,48.2354
0.0026,61.2397,0.32999,48.2245
0.0027,61.2527,0.33236,48.2136
0.0028,61.2656,0.33473,48.2027
0.0029,61.2784,0.33708,48.1918
0.003,61.2912,0.33943,48.1809
0.0031,61.304,0.34177,48.17
0.0032,61.3167,0.3441,48.1591
0.0033,61.3293,0.34641,48.1482
0.0034,61.3419,0.34872,48.1374
0.0035,61.3544,0.35102,48.1265
0.0036,61.3669,0.35331,48.1157
0.0037,61.3793,0.35559,48.1049
0.0038,61.3916,0.35786,48.0941
0.0039,61.4039,0.36012,48.0833
0.004,61.4162,0.36237,48.0725
0.0041,61.4284,0.36461,48.0617
0.0042,61.4405,0.36684,48.051
0.0043,61.4525,0.36906,48.0402
0.0044,61.4645,0.37127,48.0295
0.0045,61.4765,0.37347,48.0188
0.0046,61.4884,0.37566,48.0081
0.0047,61.5002,0.37784,47.9974
0.0048,61.512,0.38,47.9867
0.0049,61.5237,0.38216,47.976
0.005,61.5353,0.38431,47.9654
0.0051,61.5469,0.38645,47.9547
0.0052,61.5584,0.38857,47.9441
0.0053,61.5699,0.39069,47.9335
0.0054,61.5813,0.39279,47.9229
0.0055,61.5926,0.39489,47.9123
0.0056,61.6039,0.39697,47.9018
0.0057,61.6151,0.39904,47.8912
0.0058,61.6262,0.4011,47.8807
0.0059,61.6373,0.40315,47.8702
0.006,61.6483,0.40519,47.8597
0.0061,61.6593,0.40722,47.8492
0.0062,61.6701,0.40923,47.8387
0.0063,61.681,0.41124,47.8283
0.0064,61.6917,0.41323,47.8179
0.0065,61.7024,0.41521,47.8074
0.0066,61.7131,0.41718,47.7971
0.0067,61.7236,0.41914,47.7867
0.0068,61.7342,0.42108,47.7763
0.0069,61.7446,0.42301,47.766
0.007,61.755,0.42493,47.7556
0.0071,61.7653,0.42684,47.7453
0.0072,61.7756,0.42874,47.7351
0.0073,61.7858,0.43062,47.7248
0.0074,61.7959,0.43249,47.7145
0.0075,61.806,0.43435,47.7043
0.0076,61.816,0.4362,47.6941
0.0077,61.8259,0.43803,47.6839
0.0078,61.8358,0.43986,47.6737
0.0079,61.8456,0.44167,47.6635
0.008,61.8554,0.44346,47.6534
0.0081,61.8651,0.44525,47.6432
0.0082,61.8748,0.44702,47.6331
0.0083,61.8844,0.44878,47.623
0.0084,61.8939,0.45053,47.613
0.0085,61.9034,0.45227,47.6029
0.0086,61.9128,0.45399,47.5928
0.0087,61.9221,0.4557,47.5828
0.0088,61.9314,0.4574,47.5728
0.0089,61.9407,0.45909,47.5628
0.009,61.9499,0.46076,47.5528
0.0091,61.959,0.46243,47.5429
0.0092,61.9681,0.46408,47.5329
0.0093,61.9771,0.46572,47.523
0.0094,61.9861,0.46734,47.513
0.0095,61.995,0.46896,47.5031
0.0096,62.0039,0.47056,47.4932
0.0097,62.0127,0.47216,47.4834
