时间(微秒),基波幅值(有效值)/V,基波相角/rad,基波频率/Hz, ,谐波频率/Hz,谐波幅值(有效值)/V
0,59.8543,2.0615,49.9711,,49.9684,59.8062
156.25,59.8544,2.0616,49.9705,,249.8314,0.74264
312.5,59.8546,2.0617,49.97,,47.84118,0.25269
468.75,59.8547,2.0618,49.9694,,52.1694,0.228074
625,59.8548,2.0619,49.9689,,349.7869,0.0801167
781.25,59.8549,2.062,49.9685,,299.798,0.0491507
937.5,59.8551,2.0621,49.968,,199.891,0.0449602
1093.75,59.8551,2.0622,49.9676,,149.8876,0.04228
1250,59.8552,2.0623,49.9672,,99.91485,0.0403377
1406.25,59.8553,2.0624,49.9669,,550.1685,0.0389604
1562.5,59.8553,2.0624,49.9666,,450.213,0.0375396
1718.75,59.8554,2.0625,49.9664,,247.9282,0.0230923
1875,59.8554,2.0626,49.9662,,,
2031.25,59.8554,2.0626,49.966,,,
2187.5,59.8554,2.0627,49.9659,,,
2343.75,59.8553,2.0627,49.9659,,,
2500,59.8552,2.0627,49.9659,,,
2656.25,59.8552,2.0627,49.966,,,
2812.5,59.8551,2.0627,49.9661,,,
2968.75,59.855,2.0627,49.9663,,,
3125,59.8548,2.0627,49.9665,,,
3281.25,59.8547,2.0627,49.9668,,,
3437.5,59.8545,2.0626,49.9671,,,
3593.75,59.8543,2.0626,49.9674,,,
3750,59.8541,2.0625,49.9678,,,
3906.25,59.8539,2.0624,49.9682,,,
4062.5,59.8537,2.0623,49.9687,,,
4218.75,59.8535,2.0622,49.9692,,,
4375,59.8533,2.0621,49.9697,,,
4531.25,59.853,2.062,49.9702,,,
4687.5,59.8528,2.0619,49.9707,,,
4843.75,59.8526,2.0617,49.9712,,,
5000,59.8523,2.0616,49.9717,,,
5156.25,59.8521,2.0614,49.9722,,,
5312.5,59.8519,2.0613,49.9727,,,
5468.75,59.8517,2.0611,49.9732,,,
5625,59.8514,2.061,49.9737,,,
5781.25,59.8512,2.0608,49.9741,,,
5937.5,59.8511,2.0607,49.9745,,,
6093.75,59.8509,2.0606,49.9749,,,
6250,59.8507,2.0604,49.9752,,,
6406.25,59.8506,2.0603,49.9755,,,
6562.5,59.8504,2.0601,49.9757,,,
6718.75,59.8503,2.06,49.9759,,,
6875,59.8502,2.0599,49.9761,,,
7031.25,59.8502,2.0598,49.9762,,,
7187.5,59.8501,2.0597,49.9762,,,
7343.75,59.8501,2.0596,49.9762,,,
7500,59.8501,2.0595,49.9761,,,
7656.25,59.8501,2.0595,49.976,,,
7812.5,59.8501,2.0594,49.9758,,,
7968.75,59.8501,2.0594,49.9756,,,
8125,59.8502,2.0593,49.9753,,,
8281.25,59.8503,2.0593,49.975,,,
8437.5,59.8504,2.0593,49.9747,,,
8593.75,59.8505,2.0593,49.9743,,,
8750,59.8506,2.0593,49.9738,,,
8906.25,59.8508,2.0593,49.9734,,,
9062.5,59.8509,2.0594,49.9729,,,
9218.75,59.8511,2.0594,49.9724,,,
9375,59.8512,2.0595,49.9718,,,
9531.25,59.8514,2.0595,49.9713,,,
9687.5,59.8516,2.0596,49.9707,,,
9843.75,59.8517,2.0597,49.9702,,,
10000,59.8519,2.0598,49.9696,,,
