Time/s,A/V
0.0000,80.029747103438012
0.0001,80.766894664652781
0.0002,81.048351266035084
0.0003,81.247930514978123
0.0004,81.638838720484145
0.0005,82.322594812671056
0.0006,83.227747852088910
0.0007,84.171418657078377
0.0008,84.954639439414322
0.0009,85.452237669366269
0.0010,85.662762399684141
0.0011,85.701295755001055
0.0012,85.741033195761489
0.0013,85.929484644498146
0.0014,86.314652736979085
0.0015,86.812242706636724
0.0016,87.228698889723674
0.0017,87.332906776971058
0.0018,86.950047926468258
0.0019,86.041611324365462
0.0020,84.739524429006295
0.0021,83.318389200884269
0.0022,82.112105137725905
0.0023,81.401675856092751
0.0024,81.312328315764660
0.0025,81.756128072868776
0.0026,82.441678847173876
0.0027,82.950317617198408
0.0028,82.856109203483655
0.0029,81.852419650140263
0.0030,79.845676217634718
0.0031,76.987564992525705
0.0032,73.636513919524347
0.0033,70.261160945290953
0.0034,67.315477328032571
0.0035,65.122160223130976
0.0036,63.796281571318211
0.0037,63.227307787984927
0.0038,63.119605749664338
0.0039,63.075384194098291
0.0040,62.694411264113896
0.0041,61.663841171808791
0.0042,59.818074085601623
0.0043,57.159469789495901
0.0044,53.841830226687634
0.0045,50.126513896856096
0.0046,46.324328739228676
0.0047,42.735478641133724
0.0048,39.596702994799635
0.0049,37.041497495922016
0.0050,35.077276640501282
0.0051,33.582526811543289
0.0052,32.326257060968466
0.0053,31.009916009891430
0.0054,29.327637730691599
0.0055,27.034839077697725
0.0056,24.009864444163224
0.0057,20.291277107749931
0.0058,16.076676401036536
0.0059,11.677960926775743
0.0060,7.440786330918051
0.0061,3.648606452371898
0.0062,0.439441537132539
0.0063,-2.237253587735941
0.0064,-4.606526142165662
0.0065,-6.996927361969331
0.0066,-9.731930389955840
0.0067,-13.017355780713618
0.0068,-16.862287240071154
0.0069,-21.062216711818870
0.0070,-25.253834763270163
0.0071,-29.026979261220891
0.0072,-32.058841759561524
0.0073,-34.225980443939328
0.0074,-35.654986129817033
0.0075,-36.691761309804733
0.0076,-37.796340356458934
0.0077,-39.395976723508632
0.0078,-41.744815699836614
0.0079,-44.838011222348605
0.0080,-48.411168311568758
0.0081,-52.027788764078053
0.0082,-55.227355870160508
0.0083,-57.685143304804910
0.0084,-59.329456133539487
0.0085,-60.375087629735063
0.0086,-61.259253395181290
0.0087,-62.499032477354547
0.0088,-64.516296665388211
0.0089,-67.487956387195695
0.0090,-71.271863722734238
0.0091,-75.434232395810710
0.0092,-79.371124087484390
0.0093,-82.485616019705162
0.0094,-84.364112550174568
0.0095,-84.895928831738956
0.0096,-84.299369023948231
0.0097,-83.048410660570369
0.0098,-81.726246906618655
0.0099,-80.854543420287825
0.0100,-80.753013350036468
0.0101,-81.471393249639817
0.0102,-82.809974316121625
0.0103,-84.414805203550657
0.0104,-85.909931672581862
0.0105,-87.019425560115224
0.0106,-87.639124740309057
0.0107,-87.838633624486434
0.0108,-87.800297887356550
0.0109,-87.724005854219300
0.0110,-87.737041199943633
0.0111,-87.843608265107150
0.0112,-87.931405486968600
0.0113,-87.829595836566369
0.0114,-87.392481893490725
0.0115,-86.573558346746609
0.0116,-85.458777649037287
0.0117,-84.244028837190044
0.0118,-83.163768733466895
0.0119,-82.397163335107066
0.0120,-81.987706371921178
0.0121,-81.808459766686596
0.0122,-81.589137618319569
0.0123,-80.998983128934825
0.0124,-79.758814709083808
0.0125,-77.744164331597162
0.0126,-75.043237504802832
0.0127,-71.947910397683813
0.0128,-68.878116029163493
0.0129,-66.262119408041585
0.0130,-64.409812822913736
0.0131,-63.418468699164443
0.0132,-63.139860666693700
0.0133,-63.218126382643455
0.0134,-63.185879242480766
0.0135,-62.589025452011533
0.0136,-61.103682944414558
0.0137,-58.613114302122270
0.0138,-55.226387214625952
0.0139,-51.238463444486904
0.0140,-47.047629331782439
0.0141,-43.055870895184299
0.0142,-39.578891032278577
0.0143,-36.785938276866567
0.0144,-34.678743100791962
0.0145,-33.107746113137132
0.0146,-31.815811829494585
0.0147,-30.496290470440307
0.0148,-28.853127916091129
0.0149,-26.653848275242424
0.0150,-23.769492521236945
0.0151,-20.197639247584142
0.0152,-16.065453299596857
0.0153,-11.610443067233000
0.0154,-7.138726197555844
0.0155,-2.964887865939760
0.0156,0.656650930382591
0.0157,3.593492345746562
0.0158,5.872942825892323
0.0159,7.681331284498153
0.0160,9.319767732786328
0.0161,11.123953057981119
0.0162,13.368316505769199
0.0163,16.182583132057935
0.0164,19.508199226563040
0.0165,23.111855759557685
0.0166,26.656042824667200
0.0167,29.807462948036779
0.0168,32.349809845021881
0.0169,34.263405641814785
0.0170,35.742808382657174
0.0171,37.142742606800901
0.0172,38.866601685371563
0.0173,41.232260109079519
0.0174,44.359621909405455
0.0175,48.119187762738285
0.0176,52.161927036392775
0.0177,56.023810158742606
0.0178,59.272499307745463
0.0179,61.647962800614771
0.0180,63.149064183222968
0.0181,64.035004711392190
0.0182,64.738630832946995
0.0183,65.718694745330183
0.0184,67.299838151491485
0.0185,69.554631889397186
0.0186,72.269104768771044
0.0187,75.005823419131104
0.0188,77.245814761587454
0.0189,78.563559733602276
0.0190,78.777255293300982
0.0191,78.023834679185768
0.0192,76.732577526505963
0.0193,75.504416580491281
0.0194,74.935062662982119
0.0195,75.438390637802740
0.0196,77.126063247744639
0.0197,79.780437290104231
0.0198,82.926977531073035
0.0199,85.980219305515206
0.0200,88.414574249323834
0.0201,89.905338355343289
0.0202,90.397612320173181
0.0203,90.086678546150068
0.0204,89.323429102023084
0.0205,88.482299756731763
0.0206,87.838944183247619
0.0207,87.497875784606578
0.0208,87.389778785412091
0.0209,87.332034129597119
0.0210,87.123781950902384
0.0211,86.636326244354663
0.0212,85.864142103907881
0.0213,84.918892613232927
0.0214,83.971874167753185
0.0215,83.170422559751884
0.0216,82.563577589771469
0.0217,82.068280284990138
0.0218,81.491308631252949
0.0219,80.600236438885204
0.0220,79.217215295254704
0.0221,77.299645414554803
0.0222,74.975485940263695
0.0223,72.516778806545759
0.0224,70.257207041622578
0.0225,68.480139360339805
0.0226,67.315186076900446
0.0227,66.679624341950358
0.0228,66.286673777332581
0.0229,65.720508426592403
0.0230,64.555702736369398
0.0231,62.484071493731925
0.0232,59.409422426086465
0.0233,55.481149784422236
0.0234,51.057073593541048
0.0235,46.607809118555146
0.0236,42.592081209780119
0.0237,39.339573670370100
0.0238,36.973499526308345
0.0239,35.391348201677246
0.0240,34.304290194706489
0.0241,33.319462506432806
0.0242,32.039586566848513
0.0243,30.153189164702724
0.0244,27.495161560474042
0.0245,24.068242133754211
0.0246,20.027136433810604
0.0247,15.635022058087605
0.0248,11.205564859241679
0.0249,7.042769634133609
0.0250,3.387876056541207
0.0251,0.379244349635221
0.0252,-1.970881905762654
0.0253,-3.779676022522479
0.0254,-5.274759771283605
0.0255,-6.752733497407626
0.0256,-8.519234824455268
0.0257,-10.820381696159981
0.0258,-13.780818939835136
0.0259,-17.365775021625126
0.0260,-21.381375550180454
0.0261,-25.518524029860277
0.0262,-29.432874420621623
0.0263,-32.840729107519230
0.0264,-35.602799740260608
0.0265,-37.768346326045098
0.0266,-39.562308090568720
0.0267,-41.315297632694005
0.0268,-43.355449605779555
0.0269,-45.895516325158525
0.0270,-48.952738970006216
0.0271,-52.330529506583417
0.0272,-55.671840689870628
0.0273,-58.570213880263736
0.0274,-60.703930148942568
0.0275,-61.948865549755915
0.0276,-62.430641323644203
0.0277,-62.495538615166204
0.0278,-62.606540300736704
0.0279,-63.196778902214447
0.0280,-64.528541694304295
0.0281,-66.605873069899232
0.0282,-69.172136475190996
0.0283,-71.795837394099195
0.0284,-74.017898913193505
0.0285,-75.511768708794278
0.0286,-76.201988563177323
0.0287,-76.299579888641091
0.0288,-76.239862859670978
0.0289,-76.541097531845679
0.0290,-77.629508546908397
0.0291,-79.688470225443268
0.0292,-82.582530758485319
0.0293,-85.882752107255200
0.0294,-88.986603271082913
0.0295,-91.294549873114974
0.0296,-92.386993321658039
0.0297,-92.145478856768349
0.0298,-90.780861153470880
0.0299,-88.761863770750395
0.0300,-86.669696121653544
0.0301,-85.027278668958644
0.0302,-84.157750428558415
0.0303,-84.114752448419011
0.0304,-84.701241428128981
0.0305,-85.563527003529458
0.0306,-86.323256466888651
0.0307,-86.700125883800169
0.0308,-86.584940472078529
0.0309,-86.043070209829210
0.0310,-85.254493930187365
0.0311,-84.418933409824461
0.0312,-83.665238969469456
0.0313,-82.999882530610066
0.0314,-82.312367481308527
0.0315,-81.432369179994780
0.0316,-80.213235186950669
0.0317,-78.606578967241333
0.0318,-76.696585342680279
0.0319,-74.678617645742037
0.0320,-72.788619258326619
0.0321,-71.209352383394574
0.0322,-69.989375774371553
0.0323,-69.007116141214397
0.0324,-67.996664622059257
0.0325,-66.629709206047053
0.0326,-64.627325989863152
0.0327,-61.863659293947421
0.0328,-58.425048223174379
0.0329,-54.602424251553835
0.0330,-50.816857322892751
0.0331,-47.500355350825991
0.0332,-44.968865488869191
0.0333,-43.327001414650219
0.0334,-42.433728518419166
0.0335,-41.938823660453551
0.0336,-41.378033298759306
0.0337,-40.297644488197101
0.0338,-38.371892184489042
0.0339,-35.480918668295686
0.0340,-31.730658552121771
0.0341,-27.413985419496200
0.0342,-22.928758158956505
0.0343,-18.678257752771110
0.0344,-14.980773394123727
0.0345,-12.008695877290647
0.0346,-9.766649840590796
0.0347,-8.107051517378119
0.0348,-6.773402545428474
