时间/s,基波幅值（有效值）/V,基波相角/rad,谐波频率/Hz,谐波幅值（最大值）/V
0,60.6756,0.00036479,48.999767,85.7132
0.0001,60.6756,-0.00025679,44.72314,7.53383
0.0002,60.6756,-0.00087972,55.524758,1.78612
0.0003,60.6756,-0.001504,391.99989,1.61241
0.0004,60.6756,-0.0021297,686.00023,1.52756
0.0005,60.6756,-0.0027568,293.99985,1.27295
0.0006,60.6756,-0.0033853,259.69997,1.10323
0.0007,60.6755,-0.0040152,181.56943,1.09479
0.0008,60.6755,-0.0046465,166.5869,1.01781
0.0009,60.6755,-0.0052793,441.00025,1.01838
0.001,60.6754,-0.0059134,1323.0001,0.9335
0.0011,60.6754,-0.0065489,176.06934,0.833519
0.0012,60.6753,-0.0071858,588.00011,0.678909
0.0013,60.6753,-0.007824,39.244824,0.511897
0.0014,60.6752,-0.0084635,489.99996,0.509181
0.0015,60.6752,-0.0091043,1225,0.424317
0.0016,60.6751,-0.0097463,,
0.0017,60.675,-0.01039,,
0.0018,60.675,-0.011034,,
0.0019,60.6749,-0.011679,,
0.002,60.6748,-0.012326,,
0.0021,60.6747,-0.012973,,
0.0022,60.6746,-0.013621,,
0.0023,60.6745,-0.01427,,
0.0024,60.6744,-0.014919,,
0.0025,60.6743,-0.01557,,
0.0026,60.6743,-0.01622,,
0.0027,60.6742,-0.016872,,
0.0028,60.6741,-0.017523,,
0.0029,60.674,-0.018175,,
0.003,60.6739,-0.018827,,
0.0031,60.6738,-0.019478,,
0.0032,60.6737,-0.02013,,
0.0033,60.6736,-0.020781,,
0.0034,60.6735,-0.021432,,
0.0035,60.6734,-0.022083,,
0.0036,60.6733,-0.022733,,
0.0037,60.6732,-0.023382,,
0.0038,60.6731,-0.024031,,
0.0039,60.673,-0.024678,,
0.004,60.673,-0.025325,,
0.0041,60.6729,-0.02597,,
0.0042,60.6728,-0.026615,,
0.0043,60.6728,-0.027258,,
0.0044,60.6727,-0.0279,,
0.0045,60.6727,-0.02854,,
