Time/s,A/V
0.0000,81.571149143204693
0.0001,81.886105547225796
0.0002,82.564618538418969
0.0003,83.189244713114789
0.0004,83.436380662377289
0.0005,83.311204111453520
0.0006,83.155188157765096
0.0007,83.410665619418481
0.0008,84.289907483553918
0.0009,85.567319220919373
0.0010,86.642686687822845
0.0011,86.852672522215954
0.0012,85.845452967193495
0.0013,83.785457953753635
0.0014,81.255923789986838
0.0015,78.915057429358427
0.0016,77.117848192139974
0.0017,75.738943628775900
0.0018,74.305373838283487
0.0019,72.350455393301672
0.0020,69.757887935820676
0.0021,66.870066425030984
0.0022,64.285531517411911
0.0023,62.471905568348433
0.0024,61.443526045379436
0.0025,60.717094231295640
0.0026,59.584780905097844
0.0027,57.541883359764839
0.0028,54.604270140679120
0.0029,51.315552146622210
0.0030,48.435661817905860
0.0031,46.500728840079951
0.0032,45.523592515389048
0.0033,45.014787345439252
0.0034,44.302226059913146
0.0035,42.941847772784897
0.0036,40.958604371223629
0.0037,38.769807308090449
0.0038,36.848280571258890
0.0039,35.349679088708029
0.0040,33.950718878245638
0.0041,32.009463236220228
0.0042,28.952308575049049
0.0043,24.646522035900414
0.0044,19.524273283529293
0.0045,14.378611569369435
0.0046,9.955052173328621
0.0047,6.585977277959583
0.0048,4.082589756924889
0.0049,1.934006711262479
0.0050,-0.328118064569404
0.0051,-2.837361042416972
0.0052,-5.353759153527051
0.0053,-7.489751648054523
0.0054,-9.040312608333350
0.0055,-10.192733634530198
0.0056,-11.473662661683978
0.0057,-13.463449055278856
0.0058,-16.458180580431964
0.0059,-20.292221426605764
0.0060,-24.430328840966300
0.0061,-28.267778593288273
0.0062,-31.449679999404626
0.0063,-34.016490803950759
0.0064,-36.300380181129427
0.0065,-38.657303200302472
0.0066,-41.218394535821957
0.0067,-43.820493183891820
0.0068,-46.149412042398993
0.0069,-47.986895128590810
0.0070,-49.386997373434198
0.0071,-50.660286396946205
0.0072,-52.176641130300247
0.0073,-54.119800728045433
0.0074,-56.358212630840391
0.0075,-58.518118628482924
0.0076,-60.210443945714232
0.0077,-61.263088125691816
0.0078,-61.810296431109897
0.0079,-62.188837935437192
0.0080,-62.719427914674085
0.0081,-63.524582545961415
0.0082,-64.503158956029395
0.0083,-65.469945549366983
0.0084,-66.353030181039330
0.0085,-67.301463011053542
0.0086,-68.618486306107073
0.0087,-70.558557119053702
0.0088,-73.125303166376483
0.0089,-76.013743866966152
0.0090,-78.747328849045232
0.0091,-80.929817814784371
0.0092,-82.451859586767057
0.0093,-83.518004494204419
0.0094,-84.476758863070103
0.0095,-85.567228865826607
0.0096,-86.752818109944300
0.0097,-87.755307614879484
0.0098,-88.267502910221310
0.0099,-88.199036220177859
0.0100,-87.781913255092604
0.0101,-87.451873389140360
0.0102,-87.571961270578171
0.0103,-88.176573861943822
0.0104,-88.910919528590441
0.0105,-89.220069203157266
0.0106,-88.679545874671717
0.0107,-87.261682577649097
0.0108,-85.365486715710560
0.0109,-83.584728493169052
0.0110,-82.356602183861270
