????/s,??????????????????/V,????????/rad,,????????/Hz,????????
0,60.55762417,0.785398163,,166.6000831,0.720037282
0.0001,60.55737522,0.186308275,,178.6366983,0.818533732
0.0002,60.55691753,0.141965972,,220.4701433,0.817654943
0.0003,60.55611396,0.052717851,,276.850027,0.840037207
0.0004,60.5550635,-0.043239741,,342.9999346,1.020045829
0.0005,60.55403461,-0.102616293,,416.5000121,0.930041841
0.0006,60.55327313,-0.13195772,,465.5000129,0.540023795
0.0007,60.55281154,-0.166801891,,539.0000209,0.420017886
0.0008,60.55241325,-0.230054762,,637.0000233,0.780032809
0.0009,60.55170125,-0.31632959,,955.5000013,0.690028791
0.001,60.55039909,-0.400136562,,1274.000034,0.480020395
0.0011,60.54853295,-0.452926915,,,
0.0012,60.54646247,-0.456388013,,,
0.0013,60.54471478,-0.409617837,,,
0.0014,60.54372258,-0.331557386,,,
0.0015,60.5436292,-0.251104854,,,
0.0016,60.54427988,-0.187972525,,,
0.0017,60.54539739,-0.145363836,,,
0.0018,60.5468204,-0.117330265,,,
0.0019,60.548643,-0.097481627,,,
0.002,60.55116023,-0.08274961,,,
0.0021,60.55465415,-0.072624759,,,
0.0022,60.55916221,-0.066657789,,,
0.0023,60.56438375,-0.063301516,,,
0.0024,60.56979262,-0.060578534,,,
0.0025,60.57489104,-0.057127998,,,
0.0026,60.57944763,-0.052732857,,,
0.0027,60.5835819,-0.048215927,,,
0.0028,60.58763016,-0.044679091,,,
0.0029,60.59190111,-0.042419875,,,
0.003,60.59646635,-0.040455846,,,
0.0031,60.60111511,-0.037064929,,,
0.0032,60.60549105,-0.030697421,,,
0.0033,60.60931375,-0.020617124,,,
0.0034,60.61253948,-0.007181449,,,
0.0035,60.61536328,0.008267916,,,
0.0036,60.61807153,0.024142906,,,
0.0037,60.62085009,0.039860968,,,
0.0038,60.62367499,0.056637636,,,
0.0039,60.6263512,0.076762206,,,
0.004,60.62866547,0.101304357,,,
0.0041,60.63054745,0.127166345,,,
0.0042,60.63213347,0.145486917,,,
0.0043,60.63369975,0.144804692,,,
0.0044,60.63550956,0.119598554,,,
0.0045,60.63767793,0.076241181,,,
0.0046,60.64013099,0.028336657,,,
0.0047,60.64267181,-0.01291677,,,
0.0048,60.64509812,-0.043176733,,,
0.0049,60.64729304,-0.063506231,,,
0.005,60.64924025,-0.07719392,,,
0.0051,60.6509721,-0.087080464,,,
0.0052,60.65250236,-0.094024098,,,
0.0053,60.65379625,-0.096830528,,,
0.0054,60.65479396,-0.093423295,,,
0.0055,60.65546066,-0.082450156,,,
0.0056,60.65581842,-0.064653515,,,
0.0057,60.65593381,-0.043667732,,,
0.0058,60.65587193,-0.025636234,,,
0.0059,60.6556541,-0.016823223,,,
0.006,60.65525174,-0.01992566,,,
0.0061,60.65461834,-0.032205741,,,
0.0062,60.65373038,-0.047635405,,,
0.0063,60.65260166,-0.061033413,,,
0.0064,60.65125889,-0.07059509,,,
0.0065,60.64970022,-0.077556148,,,
0.0066,60.64787616,-0.08398709,,,
0.0067,60.6457172,-0.090449229,,,
0.0068,60.64319498,-0.095121987,,,
0.0069,60.64037326,-0.094913544,,,
0.007,60.63740503,-0.087571705,,,
0.0071,60.63446757,-0.07333807,,,
0.0072,60.63167281,-0.055217931,,,
0.0073,60.62901173,-0.037556318,,,
0.0074,60.62637743,-0.023437761,,,
0.0075,60.62364965,-0.012581687,,,
0.0076,60.62078951,-0.00147953,,,
0.0077,60.61787877,0.014266145,,,
0.0078,60.61507415,0.037193758,,,
