Time/s,A/V
0,-40.0996
0.000156,-43.5151
0.000312,-46.7651
0.000468,-50.0098
0.000624,-53.1584
0.00078,-56.1683
0.000936,-59.1248
0.001092,-61.8945
0.001248,-64.4828
0.001404,-67.0337
0.00156,-69.5366
0.001716,-71.9648
0.001872,-74.2542
0.002028,-76.3622
0.002184,-78.3314
0.00234,-80.1138
0.002496,-81.6241
0.002652,-82.9316
0.002808,-83.9989
0.002964,-84.7781
0.00312,-85.2263
0.003276,-85.4025
0.003432,-85.3758
0.003588,-85.0876
0.003744,-84.6073
0.0039,-83.9029
0.004056,-82.9529
0.004212,-81.7682
0.004368,-80.2312
0.004524,-78.5449
0.00468,-76.8745
0.004836,-75.1401
0.004992,-73.2989
0.005148,-71.3457
0.005304,-69.3071
0.00546,-67.1724
0.005616,-64.9364
0.005772,-62.4869
0.005928,-59.8292
0.006084,-57.1129
0.00624,-54.1937
0.006396,-51.0931
0.006552,-47.8431
0.006708,-44.5077
0.006864,-41.0282
0.00702,-37.3939
0.007176,-33.4768
0.007332,-29.4583
0.007488,-25.3064
0.007644,-21.0051
0.0078,-16.645
0.007956,-12.301
0.008112,-7.9516
0.008268,-3.6396
0.008424,0.6724
0.00858,4.9844
0.008736,9.179
0.008892,13.4057
0.009048,17.5683
0.009204,21.6295
0.00936,25.5999
0.009516,29.405
0.009672,33.0499
0.009828,36.5828
0.009984,40.0356
0.01014,43.3977
0.010296,46.6103
0.010452,49.823
0.010608,52.9396
0.010764,55.9335
0.01092,58.8793
0.011076,61.6757
0.011232,64.2853
0.011388,66.8576
0.011544,69.3818
0.0117,71.8314
0.011856,74.1421
0.012012,76.2821
0.012168,78.294
0.012324,80.0872
0.01248,81.5707
0.012636,82.8622
0.012792,83.9295
0.012948,84.6927
0.013104,85.141
0.01326,85.2957
0.013416,85.2637
0.013572,85.0022
0.013728,84.5166
0.013884,83.8121
0.01404,82.8675
0.014196,81.7415
0.014352,80.2953
0.014508,78.6249
0.014664,76.9812
0.01482,75.2842
0.014976,73.4697
0.015132,71.4898
0.015288,69.4299
0.015444,67.2899
0.0156,65.0485
0.015756,62.5402
0.015912,59.8185
0.016068,57.0595
0.016224,54.087
0.01638,50.949
0.016536,47.6723
0.016692,44.3316
0.016848,40.8841
0.017004,37.2712
0.01716,33.4341
0.017316,29.469
0.017472,25.3758
0.017628,21.1385
0.017784,16.8745
0.01794,12.5998
0.018096,8.3252
0.018252,4.0505
0.018408,-0.2188
0.018564,-4.5041
0.01872,-8.7254
0.018876,-12.9414
0.019032,-17.0986
0.019188,-21.1812
0.019344,-25.173
0.0195,-29.0261
0.019656,-32.735
0.019812,-36.3213
0.019968,-39.8221
0.020124,-43.2322
0.02028,-46.5036
0.020436,-49.7163
0.020592,-52.8862
0.020748,-55.9068
0.020904,-58.8793
0.02106,-61.665
0.021216,-64.2533
0.021372,-66.8202
0.021528,-69.3498
0.021684,-71.7993
0.02184,-74.1048
0.021996,-76.2288
0.022152,-78.214
0.022308,-80.0231
