date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-01-01,6.5,5,9,,,250,19.6,,,
2013-01-02,7,4,11,,,229,15.6,,,
2013-01-03,10.6,10,12,,,243,18.8,,,
2013-01-04,9.7,9,11,,,253,18.1,,,
2013-01-05,9.1,8,11,,,239,14.3,,,
2013-01-06,7.7,7,9,,,,9.6,,,
2013-01-07,8,7,9,,,202,10.4,,,
2013-01-08,9.9,9,11,,,215,13.1,,,
2013-01-09,7.3,3,9,,,,6.9,,,
2013-01-10,2.3,1,3,,,,6.6,,,
2013-01-11,2.8,1,4,,,,7.1,,,
2013-01-12,3.2,1,4,,,80,17.8,,,
2013-01-13,2.5,1,4,,,12,11.7,,,
2013-01-14,1.4,0,4,,,,10.2,,,
2013-01-15,1.5,0,2,,,312,12.1,,,
2013-01-16,-1.6,-3,0,,,,4,,,
2013-01-17,-0.9,-4,3,,,,5.4,,,
2013-01-18,-0.9,-2,1,,,98,19.8,,,
2013-01-19,0.3,0,1,,,49,14.4,,,
2013-01-20,-0.7,-2,0,,,,10.2,,,
2013-01-21,-0.3,-1,1,,,,4.9,,,
2013-01-22,0.2,-4,3,,,,13.7,,,
2013-01-23,2,1,3,,,67,15.5,,,
2013-01-24,1.3,0,2,,,,8.5,,,
2013-01-25,0.8,-1,3,,,,10.9,,,
2013-01-26,5,2,8,,,202,15.2,,,
2013-01-27,8.3,6,10,,,220,27.6,,,
2013-01-28,6.9,3,11,,,214,22,,,
2013-01-29,12,10,13,,,221,25.5,,,
2013-01-30,10.4,8,13,,,233,31.9,,,
2013-01-31,8.9,7,10,,,231,29,,,
2013-02-01,6.4,5,8,,,260,13.5,,,
2013-02-02,4,2,5,,,312,18.1,,,
2013-02-03,5.2,1,9,,,235,17.2,,,
2013-02-04,9,7,10,,,250,27.4,,,
2013-02-05,4.7,3,7,,,242,28.1,,,
2013-02-06,4.3,3,6,,,314,22.1,,,
2013-02-07,3.2,2,5,,,284,13.8,,,
2013-02-08,2.9,0,5,,,288,11,,,
2013-02-09,2.8,1,4,,,,6.6,,,
2013-02-10,3.1,1,5,,,115,17.4,,,
2013-02-11,1,0,2,,,38,13.6,,,
2013-02-12,1.5,1,2,,,,9.3,,,
2013-02-13,1.4,0,3,,,,12.6,,,
2013-02-14,7.5,4,10,,,241,17.1,,,
2013-02-15,6.5,3,9,,,254,10.7,,,
2013-02-16,7.2,4,10,,,,5.1,,,
2013-02-17,3.5,1,9,,,74,10.4,,,
2013-02-18,3.8,1,7,,,81,11.4,,,
2013-02-19,3.4,-1,11,,,,2.9,,,
2013-02-20,2.9,2,4,,,68,20,,,
2013-02-21,1.5,1,2,,,67,21.4,,,
2013-02-22,0.9,0,1,,,32,15.1,,,
2013-02-23,0.7,0,2,,,16,13.3,,,
2013-02-24,1.5,1,2,,,346,13.6,,,
2013-02-25,3.1,1,4,,,0,15.1,,,
2013-02-26,3.8,3,5,,,32,12.9,,,
2013-02-27,3.4,2,6,,,33,12.8,,,
2013-02-28,3.8,2,6,,,39,13.1,,,
2013-03-01,4.5,3,6,,,24,10.9,,,
2013-03-02,3.2,1,5,,,,6.8,,,
2013-03-03,3.3,-1,8,,,,8.9,,,
2013-03-04,4,2,8,,,75,15.2,,,
2013-03-05,7.5,1,16,,,,5.8,,,
2013-03-06,8.6,6,13,,,73,9.3,,,
2013-03-07,7.7,7,9,,,,7.3,,,
2013-03-08,8,7,9,,,,6.9,,,
2013-03-09,5.8,3,8,,,331,9.3,,,
2013-03-10,2.2,1,3,,,33,15,,,
2013-03-11,-0.5,-2,1,,,42,24.7,,,
2013-03-12,0.7,-2,4,,,22,21.7,,,
2013-03-13,2.7,1,5,,,327,13.8,,,
2013-03-14,2.9,-1,6,,,,8.3,,,
2013-03-15,6,3,8,,,211,21.4,,,
2013-03-16,6.6,6,8,,,178,23.6,,,
2013-03-17,5.1,3,7,,,,12.1,,,
2013-03-18,3.9,0,8,,,,7.4,,,
2013-03-19,4.8,3,7,,,,7.2,,,
2013-03-20,3.7,2,6,,,,8.7,,,
2013-03-21,3.7,1,6,,,88,19,,,
2013-03-22,3.6,3,5,,,86,33.1,,,
2013-03-23,1.4,1,3,,,69,24.8,,,
2013-03-24,0.5,0,2,,,61,20.7,,,
2013-03-25,1.3,1,2,,,52,19.4,,,
2013-03-26,1,0,2,,,48,17.3,,,
2013-03-27,1.1,-1,3,,,41,11.7,,,
2013-03-28,1.8,-1,4,,,,10.7,,,
2013-03-29,2,-1,4,,,47,12.9,,,
2013-03-30,2.2,1,4,,,,11.1,,,
2013-03-31,1.7,-2,5,,,,10.5,,,
2013-04-01,2.5,1,5,,,65,20,,,
2013-04-02,3,-1,6,,,51,18.1,,,
2013-04-03,2.2,0,4,,,38,20,,,
2013-04-04,1.8,1,3,,,29,17.1,,,
2013-04-05,4,2,7,,,29,19.3,,,
2013-04-06,4.3,0,9,,,39,10.7,,,
2013-04-07,4.5,-1,10,,,,8.6,,,
2013-04-08,5.3,3,9,,,78,18.8,,,
2013-04-09,5.8,3,8,,,77,14.8,,,
2013-04-10,6.6,3,11,,,,10.2,,,
2013-04-11,6.9,6,10,,,,12.5,,,
2013-04-12,9.1,7,11,,,214,15.7,,,
2013-04-13,9.3,6,12,,,199,17,,,
2013-04-14,15,11,20,,,207,23.6,,,
2013-04-15,13,11,16,,,219,20.3,,,
2013-04-16,12.5,10,16,,,212,21.5,,,
2013-04-17,13.4,9,18,,,199,18.8,,,
2013-04-18,10.8,9,14,,,235,30.3,,,
2013-04-19,9,6,11,,,295,18,,,
2013-04-20,6.8,3,11,,,,9.7,,,
2013-04-21,8.5,3,14,,,,9.8,,,
2013-04-22,10.5,7,14,,,229,15.3,,,
2013-04-23,14.6,10,20,,,257,15.1,,,
2013-04-24,15.1,11,19,,,229,13.8,,,
2013-04-25,16.1,12,22,,,227,14.7,,,
2013-04-26,9.8,7,14,,,335,12.6,,,
2013-04-27,6.9,5,9,,,352,12.8,,,
2013-04-28,7.8,3,11,,,,13.6,,,
2013-04-29,10.6,8,14,,,261,20,,,
2013-04-30,9.3,6,13,,,,12.2,,,
2013-05-01,9.1,3,15,,,,9.9,,,
2013-05-02,10.2,5,16,,,,10.5,,,
2013-05-03,13,6,20,,,,11,,,
2013-05-04,12.5,9,16,,,241,21.3,,,
2013-05-05,13.6,8,18,,,,9,,,
2013-05-06,16.2,12,20,,,,6.8,,,
2013-05-07,14.5,9,18,,,,10,,,
2013-05-08,13.6,10,17,,,189,17.5,,,
2013-05-09,11,8,14,,,213,27.1,,,
2013-05-10,13,10,18,,,234,26.1,,,
2013-05-11,10.1,8,13,,,236,21.7,,,
2013-05-12,10.4,6,15,,,245,21.8,,,
2013-05-13,11.9,8,14,,,248,26.4,,,
2013-05-14,9.2,8,11,,,201,18.2,,,
2013-05-15,9.3,7,14,,,215,22.5,,,
2013-05-16,9.9,6,14,,,,8.4,,,
2013-05-17,9.7,8,11,,,22,10.3,,,
2013-05-18,11.8,10,15,,,,10.9,,,
2013-05-19,13.1,9,17,,,,9.2,,,
2013-05-20,13.8,12,17,,,325,13.2,,,
2013-05-21,12.6,11,16,,,349,13.6,,,
2013-05-22,11.3,10,14,,,,13.3,,,
2013-05-23,8.2,7,10,,,308,18.1,,,
2013-05-24,7.3,6,9,,,286,19.8,,,
2013-05-25,10,6,14,,,345,11.7,,,
2013-05-26,13.3,7,19,,,,10.9,,,
2013-05-27,13.1,8,17,,,210,17.6,,,
2013-05-28,11.3,10,13,,,,10.1,,,
2013-05-29,10.8,9,12,,,285,11.6,,,
2013-05-30,12.1,11,13,,,336,11.5,,,
2013-05-31,14.9,11,21,,,327,12.5,,,
2013-06-01,13.8,11,17,,,334,12.1,,,
2013-06-02,13.7,10,17,,,344,12.1,,,
2013-06-03,12.5,9,16,,,,11.7,,,
2013-06-04,13.6,7,19,,,,13.8,,,
2013-06-05,13.1,9,20,,,61,13.6,,,
2013-06-06,14.4,9,20,,,68,15.3,,,
2013-06-07,14.3,9,19,,,60,12.6,,,
2013-06-08,12.6,9,16,,,44,15.9,,,
2013-06-09,12,10,14,,,45,14.7,,,
2013-06-10,12,10,14,,,,10.1,,,
2013-06-11,13.8,8,17,,,150,12.9,,,
2013-06-12,15.8,14,17,,,204,20.3,,,
2013-06-13,14.8,13,17,,,228,26.1,,,
2013-06-14,14.4,10,18,,,205,16.3,,,
2013-06-15,14.2,12,17,,,223,23.2,,,
2013-06-16,14.4,12,17,,,,13.3,,,
2013-06-17,16,12,20,,,74,17.4,,,
2013-06-18,17.2,13,21,,,,9.6,,,
2013-06-19,20.1,16,26,,,,8.5,,,
2013-06-20,17.4,15,20,,,,11.4,,,
2013-06-21,17.2,15,21,,,232,14.4,,,
2013-06-22,14.7,12,18,,,214,25.1,,,
2013-06-23,15.2,13,17,,,250,25.7,,,
2013-06-24,13.8,12,16,,,289,17.7,,,
2013-06-25,15.4,11,19,,,,7.6,,,
2013-06-26,16.6,12,21,,,,10.2,,,
2013-06-27,15.5,13,19,,,,10.5,,,
2013-06-28,16.2,13,20,,,269,14,,,
2013-06-29,17.2,13,21,,,305,13.6,,,
2013-06-30,21,16,26,,,256,19.4,,,
2013-07-01,17.5,14,21,,,250,18.7,,,
2013-07-02,15.5,13,18,,,203,13.3,,,
2013-07-03,17.1,15,20,,,256,16.6,,,
2013-07-04,18.5,13,24,,,244,16.9,,,
2013-07-05,19.5,15,24,,,,8.3,,,
2013-07-06,19.8,13,26,,,,9,,,
2013-07-07,21.3,16,27,,,,10.1,,,
2013-07-08,20,14,25,,,64,13.7,,,
2013-07-09,18.5,12,26,,,61,12.2,,,
2013-07-10,17.8,13,23,,,,13.6,,,
2013-07-11,15.3,12,21,,,52,13.8,,,
2013-07-12,17.1,12,24,,,,8.9,,,
2013-07-13,21.8,15,29,,,,7,,,
2013-07-14,23.3,19,28,,,,9.2,,,
2013-07-15,23.8,18,30,,,,7,,,
2013-07-16,23.8,18,30,,,,6.1,,,
2013-07-17,24.2,19,30,,,,10,,,
2013-07-18,21.6,18,27,,,75,13.6,,,
2013-07-19,21.2,15,27,,,,16.6,,,
2013-07-20,18.9,17,22,,,,15.5,,,
2013-07-21,19.6,17,25,,,71,13.4,,,
2013-07-22,24.2,17,33,,,,10.3,,,
2013-07-23,23,20,28,,,,12.3,,,
2013-07-24,21.3,16,26,,,230,15.4,,,
2013-07-25,21.2,17,25,,,,11.9,,,
2013-07-26,21.9,17,27,,,,7.6,,,
2013-07-27,21.6,18,28,,,,9.4,,,
2013-07-28,20.2,16,24,,,212,21,,,
2013-07-29,20,17,23,,,213,20.4,,,
2013-07-30,18.4,16,22,,,219,15.8,,,
2013-07-31,20.4,18,25,,,222,17.9,,,
2013-08-01,25.7,17,33,,,,13.6,,,
2013-08-02,21.8,18,26,,,214,15.9,,,
2013-08-03,,,,,,,,,,
2013-08-04,19.5,16,23,,,211,18,,,
2013-08-05,19.8,18,23,,,186,14.9,,,
2013-08-06,18.7,15,22,,,,10.7,,,
2013-08-07,18.7,16,21,,,58,11.9,,,
2013-08-08,18.9,14,25,,,,8.6,,,
2013-08-09,20,16,24,,,261,16.2,,,
2013-08-10,,,,,,,,,,
2013-08-11,,,,,,,,,,
2013-08-12,18.1,15,21,,,269,17.2,,,
2013-08-13,17,13,21,,,282,17.3,,,
2013-08-14,18,13,23,,,235,12.7,,,
2013-08-15,20.6,17,25,,,230,18.1,,,
2013-08-16,19.3,18,22,,,219,16.1,,,
2013-08-17,,,,,,,,,,
2013-08-18,,,,,,,,,,
2013-08-19,18.7,14,22,,,294,15.4,,,
2013-08-20,19.6,15,24,,,,8.7,,,
2013-08-21,20.5,15,27,,,240,11.4,,,
2013-08-22,18.8,17,20,,,,8.3,,,
2013-08-23,20.5,17,25,,,95,16.3,,,
2013-08-24,18.2,16,20,,,,13.2,,,
2013-08-25,18,14,22,,,14,14.7,,,
2013-08-26,20,17,25,,,58,12.4,,,
2013-08-27,18,13,23,,,,7.4,,,
2013-08-28,18.1,13,23,,,,6,,,
2013-08-29,20,16,24,,,250,13.6,,,
2013-08-30,20.6,17,25,,,250,17.9,,,
2013-08-31,17.7,14,20,,,327,15.3,,,
2013-09-01,16.6,12,21,,,269,15.6,,,
2013-09-02,19.3,13,25,,,279,15.5,,,
2013-09-03,20.9,16,25,,,,5.1,,,
2013-09-04,20.3,16,26,,,,10.9,,,
2013-09-05,22.2,17,29,,,,6.8,,,
2013-09-06,16.8,14,20,,,,11.8,,,
2013-09-07,15.3,12,18,,,188,15.5,,,
2013-09-08,14,12,17,,,224,12.6,,,
2013-09-09,12.6,11,14,,,,11.5,,,
2013-09-10,13.5,11,17,,,310,17.9,,,
2013-09-11,14.6,13,17,,,317,17.8,,,
2013-09-12,15.6,13,18,,,,7.4,,,
2013-09-13,16.5,15,18,,,,9.9,,,
2013-09-14,,,,,,,,,,
2013-09-15,13,9,16,,,241,20.2,,,
2013-09-16,12.3,9,15,,,264,23.7,,,
2013-09-17,11.8,9,14,,,241,16.1,,,
2013-09-18,13.6,11,16,,,303,15.5,,,
2013-09-19,13.5,9,17,,,245,17.2,,,
2013-09-20,14.9,12,18,,,272,11.7,,,
2013-09-21,15.6,12,19,,,227,11.3,,,
2013-09-22,17.7,16,19,,,246,10,,,
2013-09-23,16.6,15,20,,,,6,,,
2013-09-24,15.4,11,21,,,,8.3,,,
2013-09-25,17.5,14,22,,,,6.9,,,
2013-09-26,15.8,13,19,,,69,14.4,,,
2013-09-27,14,12,17,,,77,15.4,,,
2013-09-28,15.3,13,19,,,76,18,,,
2013-09-29,15.3,14,16,,,69,19.8,,,
2013-09-30,15.8,14,19,,,80,15.8,,,
2013-10-01,14.7,12,17,,,91,16.8,,,
2013-10-02,15.8,14,19,,,103,14,,,
2013-10-03,16.1,14,19,,,,12.9,,,
2013-10-04,18.3,16,20,,,203,17.9,,,
2013-10-05,,,,,,,,,,
2013-10-06,,,,,,,,,,
2013-10-07,15.5,12,20,,,232,10.7,,,
2013-10-08,17.3,15,20,,,248,14.2,,,
2013-10-09,14.8,10,17,,,283,17.5,,,
2013-10-10,10.3,9,12,,,320,22.9,,,
2013-10-11,11.8,9,14,,,7,20.8,,,
2013-10-12,12.1,10,14,,,81,14.1,,,
2013-10-13,11,10,12,,,270,17.8,,,
2013-10-14,10.5,10,12,,,237,16.2,,,
2013-10-15,11.2,10,13,,,290,13.9,,,
2013-10-16,11.6,8,16,,,186,13.4,,,
2013-10-17,15.2,13,18,,,248,17.9,,,
2013-10-18,14,11,18,,,132,12.3,,,
2013-10-19,15.5,14,18,,,,12.1,,,
2013-10-20,15.1,13,18,,,201,17.2,,,
2013-10-21,16.5,14,18,,,197,17.7,,,
2013-10-22,17.6,17,19,,,178,16.9,,,
2013-10-23,15.5,12,18,,,227,24.4,,,
2013-10-24,12.8,9,18,,,124,11.7,,,
2013-10-25,16.1,13,19,,,177,20,,,
2013-10-26,16.1,15,18,,,214,23.8,,,
2013-10-27,14.7,13,17,,,224,28,,,
2013-10-28,13.5,10,17,,,232,32.4,,,
2013-10-29,10.3,8,13,,,255,20.3,,,
